Year,Global Oil Subsidies $million,,,,,,,,,
2010,"203,041",,,,,,,,,
2011,"263,671",,,,,,,,,
2012,"304,061",,,,,,,,,
2013,"299,998",,,,,,,,,
2014,"262,426",,,,,,,,,
2015,"147,258",,,,,,,,,
2016,"110,210",,,,,,,,,
2017,"153,532",,,,,,,,,
2018,"195,258",,,,,,,,,
2019,"134,175",,,,,,,,,
2020,"90,351",,,,,,,,,
