economy,time,DT.NFL.UNEP.CD,EG.ELC.RNEW.ZS,IQ.CPA.ENVR.XQ,NY.ADJ.DNGY.GN.ZS,NY.GDP.PCAP.KD
BRA,2000,,89.4927058553782,,1.13780990952933,6787.67797716108
BRA,2001,,84.2874450546105,,0.977022919456407,6788.58554804619
BRA,2002,,85.7381730026528,,1.3165935124019,6904.63444707993
BRA,2003,,87.1636031278562,,1.46861480566232,6896.14632279062
BRA,2004,,86.0321122820058,,1.59880069161369,7206.27133740783
BRA,2005,,87.1246275118911,,1.91002174623558,7352.29226965769
BRA,2006,,86.7476516501048,,1.90485087138274,7560.71199947724
BRA,2007,,88.2146796451509,,1.55806657054652,7936.83488269737
BRA,2008,,84.2664236492775,,1.82687947098038,8258.62676248812
BRA,2009,,88.9957757749597,,1.01048725117179,8169.27318076463
BRA,2010,,84.7242338752678,,1.16638832560793,8702.266794901
BRA,2011,,87.1209969967485,,1.55159547833563,8965.63256916182
BRA,2012,,82.4482831002635,,1.52729331295624,9056.59029073811
BRA,2013,,76.6892081191253,,1.4208670633417,9247.5855635843
BRA,2014,,73.0820738473312,,1.41718967052962,9214.98938314987
BRA,2015,,73.9669080481113,,0.838748333188171,8814.00141787464
BRA,2016,,,,0.636352134772048,8455.32348121931
BRA,2017,,,,1.0226477029703,8498.30510191241
BRA,2018,,,,1.72258778401389,8582.34994282074
BRA,2019,,,,1.72015764338198,8638.29428665528
CHN,2000,,16.6394981921286,,1.73853360199904,2193.8929912059
CHN,2001,,18.9585191657511,,1.51441246427442,2359.56821727539
CHN,2002,,17.6186278990475,,1.16778135380243,2557.88709386907
CHN,2003,,15.0370403322247,,1.20336097959974,2797.17171830387
CHN,2004,,16.2232664186372,,2.66410267821141,3061.82776434297
CHN,2005,,16.1750249753446,,2.83369953201242,3390.7101702354
CHN,2006,,15.5927834152258,,2.79543968433849,3800.75908240911
CHN,2007,,15.263347136776,,2.58552422318812,4319.02376854822
CHN,2008,,17.7374440648538,,4.25842339276263,4711.63512676117
CHN,2009,,17.8637981987375,,1.71467585481053,5128.89506825024
CHN,2010,,18.6228260527723,,2.48859132916702,5647.05875239019
CHN,2011,,16.7617704327503,,3.15477078425994,6156.82859584857
CHN,2012,,19.9662489377563,,2.02667398266577,6608.70712164955
CHN,2013,,20.2962273802567,,1.50864153469702,7086.8741425548
CHN,2014,,22.6091537829535,,1.18555521304368,7574.67993141248
CHN,2015,,23.926817173663,,0.554634534845363,8066.94263493206
CHN,2016,,,,0.461154062834823,8572.88213343734
CHN,2017,,,,0.585616730671627,9117.33771149166
CHN,2018,,,,0.719562932136533,9688.46685936294
