areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
E10000034,Worcestershire,utla,2021-12-21,443955
S12000013,Na h-Eileanan Siar,utla,2021-12-21,20722
S12000029,South Lanarkshire,utla,2021-12-21,243523
S12000045,East Dunbartonshire,utla,2021-12-21,86103
E06000003,Redcar and Cleveland,utla,2021-12-20,98316
E06000014,York,utla,2021-12-20,149278
E06000050,Cheshire West and Chester,utla,2021-12-20,260852
E08000001,Bolton,utla,2021-12-20,191651
E08000016,Barnsley,utla,2021-12-20,171392
E08000031,Wolverhampton,utla,2021-12-20,164719
E08000032,Bradford,utla,2021-12-20,328951
E09000018,Hounslow,utla,2021-12-20,187930
E09000032,Wandsworth,utla,2021-12-20,230882
E09000033,Westminster,utla,2021-12-20,146810
E10000034,Worcestershire,utla,2021-12-20,443291
S12000013,Na h-Eileanan Siar,utla,2021-12-20,20706
S12000029,South Lanarkshire,utla,2021-12-20,243396
S12000045,East Dunbartonshire,utla,2021-12-20,86049
E06000003,Redcar and Cleveland,utla,2021-12-19,98199
E06000014,York,utla,2021-12-19,149059
E06000050,Cheshire West and Chester,utla,2021-12-19,260639
E08000001,Bolton,utla,2021-12-19,191424
E08000016,Barnsley,utla,2021-12-19,171253
E08000031,Wolverhampton,utla,2021-12-19,164525
E08000032,Bradford,utla,2021-12-19,328623
E09000018,Hounslow,utla,2021-12-19,187722
E09000032,Wandsworth,utla,2021-12-19,230652
E09000033,Westminster,utla,2021-12-19,146673
E10000034,Worcestershire,utla,2021-12-19,442668
S12000013,Na h-Eileanan Siar,utla,2021-12-19,20690
S12000029,South Lanarkshire,utla,2021-12-19,243310
S12000045,East Dunbartonshire,utla,2021-12-19,86007
E06000003,Redcar and Cleveland,utla,2021-12-18,98142
E06000014,York,utla,2021-12-18,148811
E06000050,Cheshire West and Chester,utla,2021-12-18,260516
E08000001,Bolton,utla,2021-12-18,191273
E08000016,Barnsley,utla,2021-12-18,171069
E08000031,Wolverhampton,utla,2021-12-18,164381
