economy,time,EG.ELC.RNEW.ZS,NY.ADJ.DNGY.GN.ZS,NY.GDP.PCAP.KD,iff
BRA,2000,89.4927058553782,1.13780990952933,6787.67797716108,128.39
BRA,2001,84.2874450546105,0.977022919456407,6788.58554804619,5.39
BRA,2002,85.7381730026528,1.3165935124019,6904.63444707993,33.9
BRA,2003,87.1636031278562,1.46861480566232,6896.14632279062,7.64
BRA,2004,86.0321122820058,1.59880069161369,7206.27133740783,1.16
BRA,2005,87.1246275118911,1.91002174623558,7352.29226965769,11.88
BRA,2006,86.7476516501048,1.90485087138274,7560.71199947724,1.25
BRA,2007,88.2146796451509,1.55806657054652,7936.83488269737,0.93
BRA,2008,84.2664236492775,1.82687947098038,8258.62676248812,20.0
BRA,2009,88.9957757749597,1.01048725117179,8169.27318076463,178.39
BRA,2010,84.7242338752678,1.16638832560793,8702.266794901,146.86
BRA,2011,87.1209969967485,1.55159547833563,8965.63256916182,178.53
BRA,2012,82.4482831002635,1.52729331295624,9056.59029073811,249.94
BRA,2013,76.6892081191253,1.4208670633417,9247.5855635843,94.89
BRA,2014,73.0820738473312,1.41718967052962,9214.98938314987,499.19
BRA,2015,73.9669080481113,0.838748333188171,8814.00141787464,2.28
BRA,2016,,0.636352134772048,8455.32348121931,163.48
BRA,2017,,1.0226477029703,8498.30510191241,587.96
BRA,2018,,1.72258778401389,8582.34994282074,385.43
CHN,2000,16.6394981921286,1.73853360199904,2193.8929912059,247.45
CHN,2001,18.9585191657511,1.51441246427442,2359.56821727539,321.21
CHN,2002,17.6186278990475,1.16778135380243,2557.88709386907,215.1
CHN,2003,15.0370403322247,1.20336097959974,2797.17171830387,23.0
CHN,2004,16.2232664186372,2.66410267821141,3061.82776434297,33.2
CHN,2005,16.1750249753446,2.83369953201242,3390.7101702354,157.49
CHN,2006,15.5927834152258,2.79543968433849,3800.75908240911,105.59
CHN,2007,15.263347136776,2.58552422318812,4319.02376854822,25.25
CHN,2008,17.7374440648538,4.25842339276263,4711.63512676117,114.27
CHN,2009,17.8637981987375,1.71467585481053,5128.89506825024,59.5
CHN,2010,18.6228260527723,2.48859132916702,5647.05875239019,78.65
CHN,2011,16.7617704327503,3.15477078425994,6156.82859584857,43.75
CHN,2012,19.9662489377563,2.02667398266577,6608.70712164955,102.19
CHN,2013,20.2962273802567,1.50864153469702,7086.8741425548,306.27
CHN,2014,22.6091537829535,1.18555521304368,7574.67993141248,234.78
CHN,2015,23.926817173663,0.554634534845363,8066.94263493206,93.54
CHN,2016,,0.461154062834823,8572.88213343734,1304.87
CHN,2017,,0.585616730671627,9117.33771149166,327.72
CHN,2018,,0.719562932136533,9688.46685936294,325.5
IDN,2000,15.9560675060273,6.76792335633852,1867.54879635774,2.31
IDN,2001,17.474865190511,4.86578620876522,1909.29186789858,5.19
IDN,2002,14.9532883003595,3.74787827020945,1968.30112833041,0.12
IDN,2003,13.6385363003877,3.4939640908622,2034.76146206165,204.37
IDN,2004,13.6065178133036,4.7850151575622,2108.64179486102,50.74
IDN,2005,13.6055328591928,5.70800275520737,2199.09391371933,184.95
IDN,2006,12.2587772033185,5.1146706201425,2289.4220118994,251.16
IDN,2007,12.9038838981084,4.52587256745443,2402.6675422689,647.39
IDN,2008,13.3158324739161,6.11128851159302,2513.67159183009,19.86
IDN,2009,13.2330616046028,3.09861196637609,2595.29875925407,30.36
IDN,2010,15.8540249182646,3.24547838988618,2720.19162246855,46.92
IDN,2011,11.9928905172367,4.01208264433189,2849.35498540064,953.58
IDN,2012,11.2368144778283,3.36129724257841,2980.61011028002,16.44
IDN,2013,12.2701601703546,2.89300745683716,3104.3479997837,247.23
